Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	SPP1	6696	P10451	secreted phosphoprotein 1		824	0.353	0.885	2.146e-06	0.02		1.0	2	0	2006.0	2011.0
Parkinson Disease	C0030567	SRY	6736	Q05066	sex determining region Y	Transcription factor	315	0.456	0.808		0.02		1.0	2	0	2015.0	2018.0
Parkinson Disease	C0030567	TAL1	6886	P17542	TAL bHLH transcription factor 1, erythroid differentiation factor	Transcription factor	202	0.505	0.731	0.5659	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	MIR563	693148		microRNA 563		7	0.821	0.115		0.02		1.0	2	0	2015.0	2020.0
Parkinson Disease	C0030567	TCOF1	6949	Q13428	treacle ribosome biogenesis factor 1		138	0.55	0.808	0.9541	0.02		1.0	2	0	2010.0	2019.0
Parkinson Disease	C0030567	TGFB2	7042	P61812	transforming growth factor beta 2	Signaling	389	0.433	0.885	0.99905	0.02		1.0	2	0	2007.0	2017.0
Parkinson Disease	C0030567	TGM2	7052	P21980	transglutaminase 2	Enzyme	315	0.445	0.808	6.8118e-18	0.02		1.0	2	0	2008.0	2018.0
Parkinson Disease	C0030567	TIMP3	7078	P35625	TIMP metallopeptidase inhibitor 3	Enzyme modulator	325	0.445	0.923	0.63037	0.02		1.0	2	0	2018.0	2020.0
Parkinson Disease	C0030567	TLN1	7094	Q9Y490	talin 1		48	0.641	0.615	1.0	0.02		1.0	2	0	2019.0	2019.0
Parkinson Disease	C0030567	TNFRSF1B	7133	P20333	TNF receptor superfamily member 1B		417	0.425	0.885	0.50201	0.02		1.0	2	0	2014.0	2019.0
Parkinson Disease	C0030567	TRAF2	7186	Q12933	TNF receptor associated factor 2	Signaling	111	0.546	0.769	0.99979	0.02		1.0	2	0	2013.0	2018.0
Parkinson Disease	C0030567	TRH	7200	P20396	thyrotropin releasing hormone		230	0.519	0.846	0.00089084	0.02		1.0	2	0	2018.0	2018.0
Parkinson Disease	C0030567	TTR	7276	P02766	transthyretin	Transporter	461	0.423	0.885	0.51566	0.02		1.0	2	0	2009.0	2017.0
Parkinson Disease	C0030567	OPN1MW2	728458	P04001;P0DN77;P0DN78	opsin 1, medium wave sensitive 2		80	0.601	0.769	0.24464	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	TXN	7295	P10599	thioredoxin		338	0.447	0.885	0.20119	0.02		1.0	2	0	2011.0	2018.0
Parkinson Disease	C0030567	UBE2L3	7332	P68036	ubiquitin conjugating enzyme E2 L3	Enzyme	56	0.644	0.615	0.83844	0.02		1.0	2	0	2002.0	2017.0
Parkinson Disease	C0030567	UCHL3	7347	P15374	ubiquitin C-terminal hydrolase L3	Enzyme	24	0.705	0.385	3.3417e-08	0.02		1.0	2	0	2006.0	2010.0
Parkinson Disease	C0030567	USP1	7398	O94782	ubiquitin specific peptidase 1	Enzyme	50	0.641	0.538	0.99691	0.02		1.0	2	0	2009.0	2017.0
Parkinson Disease	C0030567	VIM	7431	P08670	vimentin		644	0.372	0.846	0.71255	0.02		1.0	2	0	2017.0	2020.0
Parkinson Disease	C0030567	XIST	7503		X inactive specific transcript		146	0.522	0.808		0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	CACNA1A	773	O00555	calcium voltage-gated channel subunit alpha1 A	Ion channel	320	0.489	0.769	1.0	0.02		1.0	2	0	2015.0	2015.0
Parkinson Disease	C0030567	ZNF184	7738	Q99676	zinc finger protein 184		5	0.839	0.154	0.0036775	0.02		1.0	2	0	2018.0	2020.0
Parkinson Disease	C0030567	RAB7A	7879	P51149	RAB7A, member RAS oncogene family		95	0.597	0.692	0.96933	0.02		1.0	2	0	2017.0	2018.0
Parkinson Disease	C0030567	NELFE	7936	P18615	negative elongation factor complex member E		40	0.686	0.5	0.006895	0.02		1.0	2	0	1999.0	2013.0
Parkinson Disease	C0030567	SLC52A2	79581	Q9HAB3	solute carrier family 52 member 2	Transporter	261	0.483	0.808	0.0024777	0.02		1.0	2	0	2006.0	2018.0
Parkinson Disease	C0030567	PANK2	80025	Q9BZ23	pantothenate kinase 2	Kinase	171	0.559	0.808	7.4034e-07	0.02		1.0	2	0	2005.0	2010.0
Parkinson Disease	C0030567	TET1	80312	Q8NFU7	tet methylcytosine dioxygenase 1		156	0.523	0.808	1.0	0.02		0.5	2	1	2013.0	2019.0
Parkinson Disease	C0030567	COASY	80347	Q13057	Coenzyme A synthase	Enzyme	125	0.551	0.654	8.0903e-10	0.02		1.0	2	0	2007.0	2019.0
Parkinson Disease	C0030567	NDFIP1	80762	Q9BT67	Nedd4 family interacting protein 1		29	0.716	0.462	0.97747	0.02		1.0	2	0	2014.0	2015.0
Parkinson Disease	C0030567	RNF146	81847	Q9NTX7	ring finger protein 146		27	0.705	0.577	0.81992	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	CAPN1	823	P07384	calpain 1	Enzyme	165	0.539	0.808	5.8554e-10	0.02		1.0	2	0	2014.0	2019.0
Parkinson Disease	C0030567	CAST	831	P20810	calpastatin		141	0.541	0.846	4.1218e-12	0.02		1.0	2	1	2009.0	2010.0
Parkinson Disease	C0030567	AXIN2	8313	Q9Y2T1	axin 2		169	0.507	0.692	0.57015	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	H3C1	8350	P68431	H3 clustered histone 1		37	0.67	0.308	6.293e-07	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C4	8351	P68431	H3 clustered histone 4		36	0.67	0.308	0.00113	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C3	8352	P68431	H3 clustered histone 3		36	0.67	0.308	0.26064	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C6	8353	P68431	H3 clustered histone 6		38	0.666	0.346	1.4382e-06	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C11	8354	P68431	H3 clustered histone 11		38	0.663	0.308	0.0084746	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C8	8355	P68431	H3 clustered histone 8		37	0.67	0.308	1.1617e-06	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C12	8356	P68431	H3 clustered histone 12		38	0.666	0.385	0.60556	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C10	8357	P68431	H3 clustered histone 10		36	0.67	0.308	0.0057387	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	H3C2	8358	P68431	H3 clustered histone 2		43	0.653	0.423	1.4796e-05	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	C19orf12	83636	Q9NSK7	chromosome 19 open reading frame 12		92	0.641	0.615	0.34416	0.02		1.0	2	0	2017.0	2017.0
Parkinson Disease	C0030567	SESN2	83667	P58004	sestrin 2	Enzyme	169	0.508	0.808	4.1912e-07	0.02		1.0	2	0	2013.0	2020.0
Parkinson Disease	C0030567	PPP1R1B	84152	Q9UD71	protein phosphatase 1 regulatory inhibitor subunit 1B	Enzyme modulator	82	0.617	0.5	0.24098	0.02		1.0	2	0	2017.0	2018.0
Parkinson Disease	C0030567	SYVN1	84447	Q86TM6	synoviolin 1		79	0.599	0.731	0.9997	0.02		1.0	2	0	2012.0	2018.0
Parkinson Disease	C0030567	ATAD1	84896	Q8NBU5	ATPase family AAA domain containing 1		126	0.545	0.692	0.0013367	0.02		1.0	2	0	1996.0	2004.0
Parkinson Disease	C0030567	KHSRP	8570	Q92945	KH-type splicing regulatory protein	Enzyme	148	0.526	0.846	1.0	0.02		1.0	2	0	2014.0	2019.0
Parkinson Disease	C0030567	PDE8B	8622	O95263	phosphodiesterase 8B		89	0.638	0.5	0.99905	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	B3GALT4	8705	O96024	beta-1,3-galactosyltransferase 4	Enzyme	9	0.792	0.308	0.029753	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	RIPK1	8737	Q13546	receptor interacting serine/threonine kinase 1	Kinase	250	0.479	0.769	0.0079441	0.02		1.0	2	0	2020.0	2020.0
Parkinson Disease	C0030567	CBS	875	P0DN79;P35520	cystathionine beta-synthase	Enzyme	295	0.465	0.885	3.0799e-05	0.02		1.0	2	0	2017.0	2018.0
Parkinson Disease	C0030567	CCKAR	886	P32238	cholecystokinin A receptor	G-protein coupled receptor	62	0.615	0.5	0.0040329	0.02		1.0	2	0	2003.0	2004.0
Parkinson Disease	C0030567	SPHK1	8877	Q9NYA1	sphingosine kinase 1	Kinase	236	0.48	0.808	3.0327e-07	0.02		1.0	2	0	2018.0	2018.0
Parkinson Disease	C0030567	EIF2B3	8891	Q9NR50	eukaryotic translation initiation factor 2B subunit gamma		36	0.729	0.346	0.56695	0.02		1.0	2	0	2005.0	2007.0
Parkinson Disease	C0030567	H3C7	8968	P68431	H3 clustered histone 7		36	0.67	0.308	0.0065896	0.02		1.0	2	0	2007.0	2010.0
Parkinson Disease	C0030567	MGAM	8972	O43451	maltase-glucoamylase	Enzyme	95	0.592	0.615	1.0382e-35	0.02		1.0	2	0	2018.0	2018.0
Parkinson Disease	C0030567	STBD1	8987	O95210	starch binding domain 1		3	0.89	0.115		0.02		0.5	2	0	2011.0	2015.0
Parkinson Disease	C0030567	NOL3	8996	O60936	nucleolar protein 3		100	0.575	0.808	0.0001992	0.02		1.0	2	0	2016.0	2018.0
Parkinson Disease	C0030567	MIDN	90007	Q504T8	midnolin		3	0.89	0.038	0.17862	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	P2RX6	9127	O15547	purinergic receptor P2X 6	Ion channel	85	0.599	0.769	4.468e-09	0.02		1.0	2	0	2018.0	2019.0
Parkinson Disease	C0030567	MAP3K13	9175	O43283	mitogen-activated protein kinase kinase kinase 13	Kinase	17	0.743	0.192	0.80051	0.02		1.0	2	0	2009.0	2011.0
Parkinson Disease	C0030567	XPR1	9213	Q9UBH6	xenotropic and polytropic retrovirus receptor 1	Transporter	217	0.488	0.731	0.99999	0.02		1.0	2	0	2015.0	2016.0
Parkinson Disease	C0030567	MFHAS1	9258	Q9Y4C4	malignant fibrous histiocytoma amplified sequence 1		25	0.729	0.538	4.2417e-09	0.02		1.0	2	0	2012.0	2014.0
Parkinson Disease	C0030567	DNER	92737	Q8NFT8	delta/notch like EGF repeat containing		203	0.493	0.769	0.1859	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	GPR55	9290	Q9Y2T6	G protein-coupled receptor 55	G-protein coupled receptor	68	0.619	0.615	2.8503e-05	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	CD19	930	P15391	CD19 molecule		365	0.43	0.885	0.90496	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	KLF4	9314	O43474	Kruppel like factor 4	Nucleic acid binding	307	0.449	0.769	0.99714	0.02		1.0	2	1	2012.0	2013.0
Parkinson Disease	C0030567	FTMT	94033	Q8N4E7	ferritin mitochondrial	Storage	29	0.686	0.423	0.0056072	0.02		1.0	2	0	2010.0	2017.0
Parkinson Disease	C0030567	OPN4	94233	Q9UHM6	opsin 4	G-protein coupled receptor	87	0.579	0.769	9.0073e-13	0.02		1.0	2	0	2018.0	2018.0
Parkinson Disease	C0030567	HOMER1	9456	Q86YM7	homer scaffold protein 1		85	0.636	0.538	0.9992	0.02		1.0	2	0	2009.0	2014.0
Parkinson Disease	C0030567	ROCK2	9475	O75116	Rho associated coiled-coil containing protein kinase 2	Kinase	154	0.529	0.808	1.0	0.02		1.0	2	0	2016.0	2017.0
Parkinson Disease	C0030567	SLC25A27	9481	O95847	solute carrier family 25 member 27	Transporter	22	0.711	0.423	0.00026907	0.02		1.0	2	0	2016.0	2018.0
Parkinson Disease	C0030567	VPS26A	9559	O75436	VPS26, retromer complex component A	Transporter	8	0.821	0.269	0.61411	0.02		1.0	2	0	2014.0	2014.0
Parkinson Disease	C0030567	HDAC4	9759	P56524	histone deacetylase 4	Epigenetic regulator	256	0.484	0.885	1.0	0.02		1.0	2	0	2017.0	2019.0
Parkinson Disease	C0030567	ATG13	9776	O75143	autophagy related 13		14	0.769	0.308	0.96359	0.02		1.0	2	0	2019.0	2020.0
Parkinson Disease	C0030567	BMS1	9790	Q14692	BMS1 ribosome biogenesis factor		192	0.499	0.846	0.0001753	0.02		1.0	2	0	2002.0	2018.0
Parkinson Disease	C0030567	USP15	9958	Q9Y4E8	ubiquitin specific peptidase 15	Enzyme	28	0.711	0.423	0.99997	0.02		1.0	2	0	2014.0	2017.0
Parkinson Disease	C0030567	ADA	100	P00813	adenosine deaminase	Enzyme	379	0.44	0.885	2.8825e-12	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SRA1	10011	Q9HD15	steroid receptor RNA activator 1		102	0.568	0.615	5.19e-06	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	VTRNA2-1	100126299		vault RNA 2-1		44	0.641	0.538		0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	MIR543	100126335		microRNA 543		68	0.593	0.692		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	MUPP	100129193		major urinary protein, pseudogene		8	0.792	0.308		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	CD24	100133941	P25063	CD24 molecule		244	0.472	0.769		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	BCL2L11	10018	O43521	BCL2 like 11		173	0.51	0.731	0.88857	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	MIR1224	100187716		microRNA 1224		36	0.666	0.385		0.01		1.0	1	0	2012.0	2012.0
Parkinson Disease	C0030567	MFT2	100188881		Trichoepithelioma, multiple familial, 2		75	0.601	0.692		0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	TIMM23	100287932	O14925	translocase of inner mitochondrial membrane 23		13	0.78	0.462	0.0049452	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	C4B_2	100293534	P0C0L4;P0C0L5	complement component 4B (Chido blood group), copy 2		31	0.67	0.731		0.01		1.0	1	0	1984.0	1984.0
Parkinson Disease	C0030567	TMED7-TICAM2	100302736	Q86XR7;Q9Y3B3	TMED7-TICAM2 readthrough		329	0.438	0.769	0.0025936	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	MIR3143	100422934		microRNA 3143		1	1.0	0.038		0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	MICOS10-NBL1	100532736	P41271	MICOS10-NBL1 readthrough		35	0.691	0.462	0.028653	0.01		1.0	1	0	2000.0	2000.0
Parkinson Disease	C0030567	ABCB6	10058	Q9NP58	ATP binding cassette subfamily B member 6 (Langereis blood group)	Transporter	400	0.431	0.885	8.5999e-19	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MIR4639	100616269		microRNA 4639		3	0.89	0.077		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	ERVW-4	100616496		endogenous retrovirus group W member 4		32	0.686	0.615		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PTPRU	10076	Q92729	protein tyrosine phosphatase receptor type U	Enzyme	88	0.581	0.654	0.39251	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PQBP1	10084	O60828	polyglutamine binding protein 1	Transcription factor	118	0.57	0.654	0.78935	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	PGR-AS1	101054525		PGR antisense RNA 1		172	0.514	0.808		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	TRIM10	10107	Q9UDY6	tripartite motif containing 10		14	0.821	0.269	3.7432e-09	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	UCHL1-AS1	101410542		UCHL1 antisense RNA 1 (head to head)		1	1.0	0.038		0.01		1.0	1	3	2016.0	2016.0
Parkinson Disease	C0030567	G3BP1	10146	Q13283	G3BP stress granule assembly factor 1	Nucleic acid binding	78	0.597	0.654	0.033122	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	WASF2	10163	Q9Y6W5	WASP family member 2	Cellular structure	95	0.585	0.769	0.97567	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	LOC101928100	101928100		uncharacterized LOC101928100		1	1.0	0.038		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	ADAM10	102	O14672	ADAM metallopeptidase domain 10		224	0.489	0.846	1.0	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	TRIM13	10206	O60858	tripartite motif containing 13		275	0.462	0.846	0.6366	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	EIF1	10209	P41567	eukaryotic translation initiation factor 1		37	0.653	0.577	0.8307	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	CDK6	1021	Q00534	cyclin dependent kinase 6	Kinase	266	0.471	0.731	0.98315	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	STX6	10228	O43752	syntaxin 6	Transporter	19	0.751	0.385	0.010265	0.01		0.0	1	1	2013.0	2013.0
Parkinson Disease	C0030567	CALCOCO2	10241	Q13137	calcium binding and coiled-coil domain 2		21	0.722	0.423	0.0001027	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	MIR8061	102466251		microRNA 8061		2	0.931	0.115		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SPRY1	10252	O43609	sprouty RTK signaling antagonist 1	Signaling	63	0.603	0.577	0.0030398	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	CDKN1A	1026	P38936	cyclin dependent kinase inhibitor 1A		490	0.403	0.769	0.0018575	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	CDKN1B	1027	P46527	cyclin dependent kinase inhibitor 1B		454	0.409	0.769	0.62376	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	LOC102724334	102724334	P57053	histone H2B type F-S-like		22	0.711	0.615		0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	CBSL	102724560	P0DN79;P35520	cystathionine beta-synthase like		129	0.54	0.808		0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	STUB1	10273	Q9UNE7	STIP1 homology and U-box containing protein 1		155	0.544	0.692	0.018667	0.01		1.0	1	0	2002.0	2002.0
Parkinson Disease	C0030567	HAGLROS	102800310		HAGLR opposite strand lncRNA		22	0.705	0.462		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	TP53COR1	102800311		tumor protein p53 pathway corepressor 1		57	0.628	0.5		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	DNAJA2	10294	O60884	DnaJ heat shock protein family (Hsp40) member A2		10	0.839	0.308	0.99796	0.01		1.0	1	0	2006.0	2006.0
Parkinson Disease	C0030567	DLEU1	10301	O43261	deleted in lymphocytic leukemia 1		109	0.569	0.692	0.47033	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	CCL26	10344	Q9Y258	C-C motif chemokine ligand 26	Signaling	60	0.617	0.654	0.010114	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	NPM3	10360	O75607	nucleophosmin/nucleoplasmin 3	Chaperone	5	0.861	0.192	0.069498	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	NDRG1	10397	Q92597	N-myc downstream regulated 1	Enzyme	225	0.488	0.731	0.011324	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	SPAG11B	10407	Q08648;Q6PDA7	sperm associated antigen 11B		44	0.65	0.731	0.027751	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	UBAC1	10422	Q9BSL1	UBA domain containing 1		12	0.769	0.154	0.0014517	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	APOA1-AS	104326055		APOA1 antisense RNA		27	0.76	0.269		0.01		1.0	1	1	2015.0	2015.0
Parkinson Disease	C0030567	SNHG14	104472715		small nucleolar RNA host gene 14		44	0.656	0.577		0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	NXF1	10482	Q9UBU9	nuclear RNA export factor 1	Nucleic acid binding	141	0.531	0.885	0.9763	0.01		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	CIB1	10519	Q99828	calcium and integrin binding 1		275	0.458	0.769	0.00032612	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PROCR	10544	Q9UNN8	protein C receptor	Enzyme modulator	110	0.56	0.692	0.0056256	0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	CEL	1056	P19835	carboxyl ester lipase		172	0.514	0.808	1.538e-06	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	ARFGEF1	10565	Q9Y6D6	ADP ribosylation factor guanine nucleotide exchange factor 1		34	0.674	0.423	1.0	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	NPC2	10577	P61916	NPC intracellular cholesterol transporter 2		81	0.612	0.769	0.0017755	0.01		1.0	1	0	2013.0	2013.0
Parkinson Disease	C0030567	SCGN	10590	O76038	secretagogin, EF-hand calcium binding protein		34	0.695	0.5	2.3395e-11	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	TRIM3	10612	O75382	tripartite motif containing 3	Enzyme	31	0.682	0.423	0.9893	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	YKT6	10652	O15498	YKT6 v-SNARE homolog		14	0.792	0.231	0.36157	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	SIRT1-AS	106633813		SIRT1 antisense RNA		44	0.67	0.615		0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	BUB1B-PAK6	106821730	Q9NQU5	BUB1B-PAK6 readthrough		8	0.805	0.269		0.01		1.0	1	0	2015.0	2015.0
Parkinson Disease	C0030567	PTGES3	10728	Q15185	prostaglandin E synthase 3	Chaperone	56	0.641	0.731	0.98536	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	GJB6	10804	O95452	gap junction protein beta 6	Cell-cell junction	176	0.528	0.808	1.658e-07	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	CPLX1	10815	O14810	complexin 1		138	0.576	0.654	0.82499	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	PPP1R17	10842	O96001	protein phosphatase 1 regulatory subunit 17		9	0.805	0.192	0.0010488	0.01		1.0	1	0	2007.0	2007.0
Parkinson Disease	C0030567	PPP1R13L	10848	Q8WUF5	protein phosphatase 1 regulatory subunit 13 like		122	0.539	0.692	0.03206	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MRPS30	10884	Q9NP92	mitochondrial ribosomal protein S30		83	0.59	0.731	1.5937e-08	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	JTB	10899	O76095	jumping translocation breakpoint		64	0.615	0.769	0.42432	0.01		1.0	1	0	2004.0	2004.0
Parkinson Disease	C0030567	PNPLA6	10908	Q8IY17	patatin like phospholipase domain containing 6	Enzyme	167	0.533	0.769	1.94e-13	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	SUGT1	10910	Q9Y2Z0	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone		11	0.78	0.308	0.45272	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	PAPOLA	10914	P51003	poly(A) polymerase alpha	Nucleic acid binding	79	0.593	0.731	0.99998	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	RALBP1	10928	Q15311	ralA binding protein 1	Enzyme modulator	134	0.536	0.654	0.14667	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	PRDX3	10935	P30048	peroxiredoxin 3	Enzyme	89	0.568	0.769	0.0042426	0.01		1.0	1	0	2008.0	2008.0
Parkinson Disease	C0030567	COPS5	10987	Q92905	COP9 signalosome subunit 5	Enzyme	101	0.566	0.769	0.99925	0.01		1.0	1	0	2005.0	2005.0
Parkinson Disease	C0030567	IMMT	10989	Q16891	inner membrane mitochondrial protein		93	0.576	0.846	0.0133	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	RAB35	11021	Q15286	RAB35, member RAS oncogene family		15	0.78	0.308	0.97845	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	LOC110366354	110366354		CYP3A4 5' regulatory region		12	0.769	0.269		0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	STMN2	11075	Q93045	stathmin 2		28	0.674	0.5	0.97687	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	RER1	11079	O15258	retention in endoplasmic reticulum sorting receptor 1		14	0.821	0.231	0.37879	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	LOC110806262	110806262		solute carrier family 6 member 4 gene promoter		63	0.626	0.423		0.01		1.0	1	0	2009.0	2009.0
Parkinson Disease	C0030567	CHI3L1	1116	P36222	chitinase 3 like 1		420	0.419	0.885	1.1133e-05	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	CHIT1	1118	Q13231	chitinase 1		142	0.525	0.692	7.1716e-16	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	SLC2A6	11182	Q9UGQ3	solute carrier family 2 member 6	Transporter	39	0.674	0.538	6.7106e-06	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	PTGDR2	11251	Q9Y5Y4	prostaglandin D2 receptor 2	G-protein coupled receptor	60	0.612	0.692	0.0027025	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	NACC1	112939	Q96RE7	nucleus accumbens associated 1		100	0.61	0.577	0.99763	0.01		1.0	1	0	2014.0	2014.0
Parkinson Disease	C0030567	COPE	11316	O14579	COPI coat complex subunit epsilon	Transporter	34	0.686	0.385	0.69249	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	ECD	11319	O95905	ecdysoneless cell cycle regulator		40	0.656	0.538	2.3368e-12	0.01		1.0	1	0	2019.0	2019.0
Parkinson Disease	C0030567	FKBP9	11328	O95302	FKBP prolyl isomerase 9		13	0.805	0.231	1.0584e-05	0.01		1.0	1	0	2020.0	2020.0
Parkinson Disease	C0030567	PDAP1	11333	Q13442	PDGFA associated protein 1		95	0.576	0.769	0.049626	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	TUSC2	11334	O75896	tumor suppressor 2, mitochondrial calcium regulator		111	0.556	0.846	0.7671	0.01		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	GABARAP	11337	O95166	GABA type A receptor-associated protein	Cellular structure	31	0.695	0.5	0.26129	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	GABARAPL2	11345	P60520	GABA type A receptor associated protein like 2	Cellular structure	10	0.821	0.231	0.00022815	0.01		1.0	1	0	2018.0	2018.0
Parkinson Disease	C0030567	TRIM9	114088	Q9C026	tripartite motif containing 9		24	0.705	0.5	0.99973	0.01		1.0	1	0	2010.0	2010.0
Parkinson Disease	C0030567	CHRNB3	1142	Q05901	cholinergic receptor nicotinic beta 3 subunit	Ion channel	28	0.705	0.308	8.5898e-06	0.01		1.0	1	0	2014.0	2014.0
